artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacfulness,Joy,Power,Tension,Sadness
Trailerpark,Schlechter Tag,1,1,0,1,0,1,0,1,0
Desiigner,Panda,1,0,0,1,1,1,1,1,1
NAS,Doo Rags,1,1,1,1,1,1,1,0,1
DMX,X Gon' Give It To Ya,1,1,1,1,1,1,1,0,1
Xatar,Meine Große Liebe,0,1,0,1,0,1,1,1,0
Biggie Smalls,Hypnotize,1,1,1,1,1,1,1,1,0
Salt-N-Pepa,Shoop,1,1,1,1,1,1,1,1,0
Prinz Pi,Laura,0,1,1,1,1,0,1,1,1
Black Eyed Peas,Where Is The Love,1,1,1,1,0,1,1,1,1
Blumio,Lass Mal Über Haie Reden,0,1,0,1,1,1,1,1,1
Cyne,One Day,1,1,1,1,1,1,1,1,1
The Pharcyde,Passin' Me By,1,0,0,1,1,1,1,1,0
Gucci Mane,Tone It Down,0,1,0,1,1,1,1,1,1
Jay-Z,The Story Of OJ,1,1,1,1,1,1,1,1,1
2Pac,All Eyez On Me,1,1,1,1,1,1,1,1,1
K.I.Z.,Ein Affe und ein Pferd,0,1,0,1,1,1,1,1,0
LL Cool J,Around The Way Girl,1,1,1,1,1,1,1,1,1
Coolio,Gangsta's Paradise,1,1,1,0,1,1,1,1,1
Cardi B,Bodak Yellow,0,0,0,1,0,1,1,1,0
Killer Mike,A.D.I.D.A.S.,1,0,0,0,1,1,1,1,1
Beginner,Füchse,1,1,1,0,1,1,1,1,1
Scroobius Pip,Let 'Em Come,0,1,0,0,0,0,1,1,0
SIDO,Fuffies Im Club,0,1,0,0,0,1,1,1,1
Chance The Rapper,Summer Friends,0,0,0,1,1,1,0,1,0
Twentyone Pilots,Lane Boy,1,1,0,0,1,1,1,1,1
BBou,Kanona,0,0,0,1,0,0,1,1,1
The Roots,You Got Me,1,1,1,1,1,0,1,1,1
Kanye West,Touch The Sky,1,1,1,1,1,1,1,1,1
Pharoahe Monch,Let's Go,0,1,0,0,1,1,1,1,0
Eminem,Mockingbird,1,1,1,1,1,0,1,1,1
Eminem,Rap God,1,1,1,1,0,1,1,1,1
Freundeskreis,A-N-N-A,0,1,1,1,1,0,0,1,1
Eminem,Lose Yourself,1,1,1,1,1,1,1,1,1
Travis Scott,Antidote,0,1,1,1,1,1,1,1,1
Kendrick Lamar,Cartoons & Cereal,0,1,0,0,0,1,1,1,1
Kanye West,Runaway,1,0,1,1,1,1,0,1,1
Jay-Z,99 Problems,0,0,0,0,1,1,1,1,0
50 Cent,In Da Club,1,0,1,1,1,1,1,1,0
Akua Naru,Poetry: How Does It Feel,1,1,1,1,1,0,0,1,1
OutKast,B.O.B.,0,1,0,0,1,1,1,1,1
Jedi Mind Tricks,Deathbed Doctrine,0,1,0,0,0,1,1,1,0
Bushido,Leben Und Tod Des Kenneth Glöckler,1,1,0,0,0,1,1,1,1
Beastie Boys,Fight For Your Right,1,0,1,0,0,1,1,1,0
Action Bronson,Actin Crazy,0,1,0,0,1,1,1,1,1
Immortal Technique,Leaving the past,1,1,1,0,1,1,1,1,1
SSIO,Nullkommaneun,1,1,0,0,0,1,1,1,0
Wu-Tang Clan,Da Mystery Of Chessboxin',0,1,0,0,0,1,1,1,0
Post Malone,Congratulations,1,0,1,1,1,1,1,1,1
D-12,Fight Music,0,1,1,0,0,1,1,1,0
Jurassic 5,Work It Out,0,1,1,1,1,1,1,1,0
Logic,Black Spiderman,1,1,1,1,1,1,1,1,1
Jay-Z,Hard Knock Life,1,1,1,1,1,1,1,1,1
The Notorious B.I.G.,Juicy,1,1,1,1,1,1,1,1,1
N.E.R.D,Lemon,0,0,0,0,0,1,1,1,0
50 Cent,Candy Shop,0,0,1,1,0,1,1,1,0
2Pac,Keep Ya Head Up,0,1,1,1,1,1,1,1,1
Prinz Pi,Gib dem Affen Zucker,0,0,0,0,0,1,1,1,0
Geto Boys,Mind Playing Tricks On Me,1,0,0,0,0,0,1,1,1
NAS,If I Ruled The World (Imagine That),0,1,1,0,1,1,1,1,0
OutKast,Ms. Jackson,1,0,1,0,0,1,1,1,1
Kendrick Lamar,i,0,0,0,0,0,1,1,1,0
Kanye West,Gold Digger,1,0,1,1,1,1,1,1,0
Max Herre,1Ste Liebe,0,0,1,1,1,1,0,1,0
Future,Mask Off,1,0,1,1,0,1,1,1,1
Ice Cube,It Was A Good Day,0,0,1,1,1,1,1,1,0
eRRdeKa,EdoppelR,0,0,0,0,1,1,1,1,1
Yung Hurn,Bianco,1,0,0,1,1,1,0,1,1
Blackalicious,Alphabet Aerobics,1,1,0,0,1,1,1,1,0
SSIO,Sim-Karte,0,1,0,0,1,1,1,1,0
Drake,Too Much,1,1,1,1,1,1,1,1,1
A$AP Rocky,Fashion Killa,0,1,1,1,1,1,1,1,1
Obie Trice,Got some Teeth,0,1,1,1,1,1,1,1,0
CunninLynguists,Love Ain't,1,1,1,1,0,1,1,1,1
Jay-Z,Ni**as In Paris,1,1,1,0,0,1,1,1,0
CunninLynguists,Valley of Death,1,1,1,0,0,1,1,1,1
Eminem,Till I Collapse,1,1,1,0,0,1,1,1,0
Kendrick Lamar,Rigamortus,0,0,0,0,0,1,1,1,1
Chinese Man,I've Got That Tune,1,1,1,1,1,1,1,1,0
Kendrick Lamar,Alright,0,0,0,0,0,1,1,1,0
Eminem,Shake That,0,0,1,0,0,1,1,1,0
Immortal Technique,Freedom Of Speech,0,0,0,0,0,1,1,1,1
Sage Francis,Crack Pipes,0,1,1,0,0,0,1,1,1
Blackstreet,No Diggity,1,0,1,1,1,1,1,1,0
NAS,N.Y. State of Mind,0,1,0,0,0,1,1,1,1
Nicki Minaj,Moment 4 Life,1,1,0,0,0,1,1,1,1
Missy Elliott,Work It,0,1,0,0,0,1,1,1,0
Marteria,Kids,0,1,0,0,1,1,1,1,1
Wiz Khalifa,"Young, Wild & Free",1,1,1,1,0,1,1,1,0
Why SL Know Plug,Rite Back,0,1,0,0,0,1,1,1,1
Black Hippy,Control,0,1,0,0,0,1,1,1,1
Naughty by Nature,O.P.P.,0,1,1,1,1,0,0,1,1
Dr. Dre,Still D.R.E.,1,1,1,0,1,1,1,1,0
Busta Rhymes,Put Your Hands Where My Eyes Can See,1,0,1,1,1,1,1,1,1
Haftbefehl,Lass Die Affen Aus'm Zoo,0,1,0,0,0,1,1,1,1
J. Cole,Wet Dreamz,1,1,1,1,1,1,1,1,1
Dr. Dre,Nuthin' But A G thang,1,0,1,1,1,1,1,1,1
Soul Position,Priceless,0,0,0,1,1,1,1,1,0
Die Orsons,Ventilator,0,0,0,0,0,1,0,1,1
Method Man,Part II,1,0,0,0,1,1,1,1,0
Public Enemy,Harder Than You Think,1,1,0,0,0,1,1,1,1
Mattafix,Big City Life,1,1,1,1,1,1,1,1,0
Tyler The Creator,Yonkers,0,0,0,1,0,0,1,1,1
AedFX,Warning,0,1,0,0,1,1,1,1,1
brillion,Aurora,1,1,1,1,1,0,0,1,1
Claptu,sad octopus,1,1,1,1,1,0,0,1,1
Claptu,Aper,1,1,1,1,1,0,0,1,1
DECAP,Panther,0,1,0,0,0,1,1,1,0
Dexter,Everyday Like This,0,0,0,1,0,1,1,1,1
Dj Shadow,Building Steam With A Grain of Salt,0,1,0,1,1,1,1,1,1
Figub Brazlevic,Silent Lava,0,0,0,0,1,0,0,1,0
Flo Filz,keep it real,1,0,1,1,1,1,1,1,0
Idealism,controlla,1,1,1,1,1,0,0,0,1
Joey Pecoraro,Your Favorite Place,1,1,1,1,1,1,1,1,1
Lord Finesse,Midas Era,1,1,1,0,1,1,1,1,1
monte booker,23,1,1,1,1,1,1,1,1,0
Philanthrope,pueblo,0,1,1,1,1,0,0,1,1
quickly quickly,swing theory,0,1,1,1,1,1,1,1,0
Suff Daddy,K C Vodka,0,0,0,0,1,0,1,1,1
The Deli,5:32pm,1,1,1,1,1,0,0,1,0
Tom Doolie,Blue Book,1,1,1,1,1,0,0,0,1
tomppabeats,one two step,1,0,0,1,1,1,1,1,0
No Spirit,Glowing Lights,0,1,1,1,1,0,0,1,1
Bartholdy,Sommernachtstraum,1,1,1,1,1,1,1,0,1
Händel,Lascia ch'io pianga,1,1,1,1,1,1,1,1,1
"Strauss, R.",Don Juan,1,1,1,1,1,1,1,1,1
Mozart,Overture - Marriage Of Figaro,1,1,1,1,1,1,1,1,1
Alfvén,Midsommarvaka,1,1,1,1,1,1,1,1,0
Bartok,Piano Sonata BB 88 (Sz. 80),1,1,1,1,1,1,1,1,0
Rossini,Wilhelm Tell (Ouvertüre),1,1,1,1,0,1,1,1,1
Borodin,Fürst Igor (Chorus),1,1,1,1,1,1,1,0,1
Tschaikowski,Gremin's Aria (Onegin),1,1,1,1,1,0,1,1,1
Bruch,"Kol Nidrei, Adagio for Cello and Orchestra, op. 47",0,1,1,1,1,0,0,1,1
Chopin,Concerto for Piano n°1 in e Minor. Second movement. Larghetto,1,1,1,1,1,0,0,0,1
Wagner,"Tristan & Isolde, Liebestod",1,1,1,1,0,1,1,1,1
Tschaikowski,Walzer (Onegin),1,1,1,1,1,1,1,1,0
Dvorák,9. Sinfonie (II. Largo),1,1,1,1,1,0,1,1,1
Mozart,Requiem,1,1,1,1,1,0,1,1,1
Delibes,"Coppelia. Ballet in 3 Acts. First act, prélude",1,1,1,1,1,1,1,1,1
Holst,"The Planets, op. 32. Mars",1,1,1,1,0,1,1,1,1
Mozart,Die Zauberflöte,1,1,1,1,1,1,1,1,0
Fauré,Romance sans Paroles,1,1,1,1,1,0,0,0,1
Malipiero,Risonanze,1,1,1,1,1,1,1,1,1
Liszt,Bénédiction de Dieu Dans la Solitude,1,1,1,1,1,0,0,1,0
Mendelssohn,"Song Without Words, op. 19, No 1",1,1,1,1,1,0,0,0,1
Mozart,Eine kleine Nachtmusik: First movement,1,1,1,1,1,1,1,1,0
Humperdinck,Hänsel und Gretel (Ouvertüre),1,1,1,1,1,1,1,1,1
Strawinsky,Feuervogel Suite,1,1,1,1,1,1,1,1,1
Milhaud,Scaramouche: Brazileira,1,1,1,1,1,1,1,1,0
Saint-Saens,Carnival of Animals: Finale,1,1,1,1,1,1,1,1,0
Chopin,Impromptu No. 2,1,1,1,1,1,1,1,1,1
Beethoven,Mondscheinsonate,1,1,1,1,1,0,1,1,1
Beethoven,"9. Symphonie, 2. Satz (Toscanini)",0,1,1,0,1,1,1,1,0
Debussy,Clair de lune,1,1,1,1,1,0,0,1,1
Beethoven,Symphony No.5 in C minor Op.67,1,1,1,1,1,1,1,1,1
Tschaikowski,Schwanensee,1,1,1,1,1,1,1,1,1
Debussy,Prélude à l'après-midi d'un faune,1,1,1,1,1,0,0,1,1
Ligeti,Etüde Arc en Ciel,1,1,1,1,1,0,0,1,1
Händel,Sinfonie in B-Dur (HWV 339),1,1,0,1,1,1,1,1,0
Mahler,"6. Symphony, Andante, (Karajan)",1,1,1,1,1,0,1,1,1
Messiaen,Quatuor pour la fin du Temps,1,1,1,1,0,0,0,1,1
Mozart,Overtüre - Die Entführung aus dem Serail,1,1,1,1,1,1,1,1,1
Beethoven,Sinfonie Nr. 6,1,1,1,1,1,1,1,1,1
Mozart,Laudate Dominum,1,1,0,1,1,1,1,1,1
Chopin,Etüde Op. 25 No. 1,1,1,1,1,1,1,1,0,1
Albinoni,"Concerto a cinque No. 2, Op. 9",1,1,1,1,1,1,1,1,1
Brahms,Klaviersonate Nr. 3 (Zwei Klaviere),1,1,1,1,1,1,1,1,1
Händel,Der Messias (Hallelujah),1,1,1,1,1,0,1,1,1
Palestrina,Missa Brevis (Kyrie),1,1,1,1,1,0,1,1,1
Brahms,"Klavierquartett Nr. 3 in C-Moll, 3. Satz",1,1,1,1,1,0,0,1,1
Tschaikowski,"Symphony, 1 Scherzo",1,1,1,1,1,1,1,1,0
Bartok,Sonata 2 pianos percussion,1,1,0,0,1,1,1,1,0
Schumann,Fantasie in C-Dur,1,1,1,1,1,0,1,1,1
Schumann,Kinderszenen,1,1,1,1,1,1,1,1,0
Grieg,Norwegische Tänze,1,1,0,0,0,1,1,1,1
Schumann,Études Symphoniques,1,1,1,1,1,0,0,1,1
J.S. Bach,"Konzert 2 Violinen, 2. Satz",1,1,1,1,1,0,0,1,1
Mozart,25. Sinfonie (I. Allegro con brio),1,1,1,1,1,1,1,1,1
Beethoven,"Sonate Nr. 8, 2. Satz",1,1,1,1,1,0,0,1,1
Bizet,Carmen (Habanera),1,1,1,1,1,1,1,1,1
Chopin,Revolutionary Etude,1,1,1,0,0,1,1,1,1
Liszt,Spanish Rhapsody,1,1,1,1,1,0,0,1,1
Brahms,"Sonate Nr. 2 für Klarinette, 1. Satz",1,1,1,1,1,0,1,1,1
Mussorgsky,Bilder einer Ausstellung,1,1,0,0,0,1,1,1,0
Debussy,Arabesque No. 1,1,1,1,1,1,0,0,0,1
Skrjabin,Preludes op. 11 no. 1,1,1,1,1,1,0,1,0,1
Tschaikowski,Slawischer Marsch,1,1,0,1,0,1,1,1,1
Verdi,der Troubadour,1,1,0,1,1,1,1,1,0
Lalo,Symphonie espagnole,1,1,1,1,1,1,1,1,0
Verdi,Requiem (Dies Irae),1,1,0,0,0,1,1,1,1
Beethoven,"Violinensonate Nr. 5 ""Frühlingssonate""",1,1,1,1,1,1,0,1,1
Beethoven,Sinfonie Nr. 9,1,1,1,1,1,0,0,1,1
Shostakovich,Symphony n°11 in g Minor op. 103. Second movement,1,1,0,0,0,0,1,1,0
Copland,Appalachian Suite,1,1,1,1,1,1,1,1,1
Tschaikowski,Marsch (Nussknacker),1,1,1,1,1,1,1,0,1
Vivaldi,Die 4 Jahreszeiten (Winter),1,1,1,1,0,1,1,1,1
Rachmaninow,Paganini Variations No. 18,1,1,1,1,1,1,1,1,1
Brahms,Sinfonie Nr. 4,1,1,1,1,1,0,1,1,1
Chopin,Prelude No. 16 in B-Moll,1,1,1,1,0,1,1,1,1
Franck,"Violinsonate, 4. Satz",1,1,1,1,1,0,0,1,1
Tschaikowski,Dornröschen,1,1,1,0,0,1,1,1,0
Vivaldi,L'Estro Armonico (Concerto No. 9),1,1,1,1,1,1,1,1,1
Rachmaninow,"3. Klavierkonzert, 3. Satz",1,1,1,0,0,1,1,1,1
Sibelius,Var det en dröm?,1,1,1,1,1,0,1,1,1
Chopin,"3. Klaviersonate, 4. Satz",1,1,1,1,1,1,1,1,1
Brahms,Violinkonzert,1,1,1,1,1,0,0,1,1
Bruckner,8. Sinfonie (Finale),1,1,0,0,0,1,1,1,1
Verdi,La Traviata,1,1,1,1,1,0,1,1,1
Prokofjew,Klaviersonate No. 7,0,1,0,0,0,1,1,1,0
Casella,Italia,1,1,0,1,1,1,1,1,0
Tschaikowski,4. Sinfonie,0,1,0,1,0,0,1,1,1
"Strauss, J.","Chit-Chat-Polka, op. 214",1,1,1,1,1,1,1,1,0
Skrjabin,Preludes op. 11 no. 15,1,1,1,1,1,0,0,0,1
Vivaldi,Die 4 Jahreszeiten (Frühling),1,1,1,1,1,1,1,1,1
Mahler,"6. Sinfonie, 1. Satz",1,1,1,1,1,0,0,1,1
Rachmaninow,Preludes op. 32 no. 5,1,1,1,1,1,0,0,0,1
Vivaldi,Die 4 Jahreszeiten (Sommer),1,1,1,1,1,0,1,1,1
Elgar,Pomp and Circumstance (1. Marsch),1,1,0,0,0,1,1,1,0
Mozart,"Gran Partita, 3. Satz",1,1,1,1,1,0,0,1,1
Dvorák,"9. Sinfonie, 4. Satz",1,1,1,0,1,1,1,1,1
Ravel,Boléro,0,1,1,1,1,1,1,1,0
Berg,"Quartett, op. 3",1,1,0,1,0,0,0,1,1
Mozart,"Don Giovanni, ""La ci darem la mano""",0,1,1,1,1,0,0,1,1
Carl Orff,O Fortuna (Carmina Burana),1,1,1,1,0,1,1,1,0
"Strauss, R.","Rosenkavalier, Act 1",1,1,1,1,1,0,0,1,1
Vivaldi,Die 4 Jahreszeiten (Herbst),1,1,1,1,1,1,1,1,1
Debussy,Des pas sur la neige,1,1,1,1,1,0,0,1,1
Puccini,Messa di Gloria,1,1,1,1,1,0,1,1,0
Bach,Brandenburgische Konzerte,1,1,1,1,1,1,1,1,1
Chopin,Waltz Op.69 No.2,1,1,1,1,1,1,0,1,0
Beethoven,Sinfonie Nr. 7,1,1,1,1,1,0,1,1,1
Gorillaz,Feel good Inc.,1,1,1,1,1,1,1,1,0
Jamiroquai,Virtual Insanity,1,1,1,1,1,1,1,0,1
Jose Gonzales,Heartbeats,1,1,1,1,1,0,1,0,1
Aerosmith,I Don't Want To Miss A Thing,1,1,1,1,1,1,1,1,1
Sugababes,Push The Button,1,1,1,1,1,1,1,1,1
Boy,Little Numbers,1,1,1,1,1,1,1,0,1
Neil Diamind,Sweet Caroline,1,1,1,1,0,1,1,0,0
Elton John,Your Song,1,1,1,1,1,1,1,0,0
Lady Gaga,Pokerface,1,1,1,0,1,1,1,1,0
Madonna,Don't Tell Me,0,1,1,1,1,1,1,1,0
Brett Dennen,She's Mine,1,1,1,1,1,1,0,1,1
Little Big Town,Girl Crush,1,1,1,1,1,0,1,1,1
Robin Schulz,Sugar,1,1,1,1,1,1,1,1,0
Jeremy Kay,Have It All,1,1,1,1,1,1,1,1,1
Keane,Everybodys Changing,1,1,1,1,1,1,1,0,1
Enya,Only Time,1,1,1,1,1,0,1,0,1
Katie Tunstall,Suddenly I See,1,1,1,1,1,1,1,0,0
Bruno Mars,Grenade,1,1,1,1,1,1,1,1,1
Macklemore,Same Love,1,1,1,1,1,1,1,1,1
Magic!,Let Your Hair Down,1,1,1,1,1,1,1,1,0
Elton John,Don't Go Breaking My Heart,1,1,1,1,1,1,1,1,0
The Weeknd,Starboy,1,1,1,1,1,1,1,1,1
All American Rejects,Fallin Apart,1,1,1,1,1,1,1,1,0
Bon Iver,Skinny Love,1,1,1,1,1,1,1,1,1
Katie Perry,I Kissed A Girl,1,1,1,1,1,1,1,1,1
Brett Dennen,Closer To You,1,0,1,1,1,0,1,1,1
AnnenMayKantereit,Wohin Du Gehst,1,1,1,1,1,1,1,1,1
Tracy Chapman,Fast Car,1,1,1,1,1,1,0,1,1
Leslie Clio,I Couldnt Care Less,1,0,0,1,1,1,1,1,0
Shakira,Hips Don't Lie,1,0,1,1,1,1,1,1,0
Atomic Kitten,Whole Again,1,1,1,1,1,1,1,1,1
Pink,Who Knew,1,1,1,1,1,1,1,1,1
Britney Spears,Baby One More Time,1,1,1,1,1,1,1,1,1
Carlos Santana,Smooth,1,0,1,1,0,1,1,1,0
Leon Bridges,River,1,1,1,1,1,0,0,1,1
The Beatles,Strawberry Fields Forever,1,1,1,1,1,0,0,1,1
Panic! at the Disco,Nine In The Afternoon,1,1,1,1,1,1,1,1,1
Arctic Monkeys,Fluorescent Adolescent,1,1,1,1,1,1,1,0,1
Puff Daddy,I'll Be Missing You,1,1,1,1,1,1,1,1,1
The Head And The Heart,Rivers And Roads,1,1,1,1,1,0,0,0,1
Ed Sheeran,Shape Of You,1,1,1,1,1,1,1,1,1
Black Eyed Peas,Just Can't Get Enough,0,1,1,1,1,1,1,1,1
Childish Gambino,Redbone,0,1,1,1,1,1,0,1,1
Johnny Cash,Hurt,1,1,1,1,1,0,1,1,1
Bruno Mars,Treasure,1,1,1,1,1,1,1,1,1
Stevie Wonder,I Wish,1,0,1,1,1,1,1,1,1
The Jackson 5,Who's Lovin You,1,1,1,1,1,1,1,0,1
Moby,Porcelain,1,1,1,1,1,0,0,0,0
Pharrell Williams,Happy,1,1,1,1,1,1,1,1,0
Spice Girls,Wannabe,1,0,1,1,1,1,1,1,0
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1,1,1,1,1,1,1,1,1
Nina Simone,Feeling Good,1,1,1,1,1,1,1,1,1
Whitney Houston,I Wanna Dance With Somebody,1,1,1,1,1,1,1,0,1
The Collapsable Hearts Club,Easy Streets,1,0,1,1,1,1,1,1,0
Gotye,Somebody That I Used To Know,1,1,1,1,1,1,1,1,1
Justin Bieber,Love Yourself,1,1,1,1,1,1,0,1,1
Theo Katzman,Hard Work,1,1,1,1,1,1,1,1,0
Katy Perry,Swish Swish,1,0,0,0,1,1,1,1,1
Bee Gees,Words,1,1,1,1,1,0,1,1,1
Sam Smith,Lay Me Down,1,1,1,1,1,0,0,0,1
David Guetta,Memories,0,0,1,0,0,1,1,1,0
Rihanna,Umbrella,1,1,1,1,1,1,1,1,1
Vanessa Carlton,A Thousand Miles,1,0,1,1,1,1,1,1,1
Carly Rae Jepsen,Call Me Maybe,1,0,1,1,1,1,1,1,0
Phil Collins,In The Air Tonight,1,1,1,1,1,1,1,1,1
Jeff Buckley,Hallelujah,1,1,1,1,1,0,0,0,1
Oli Brown,Speechless,0,0,1,1,1,1,1,1,1
Justin Timberlake,My Love,1,1,1,1,1,1,1,1,1
Taylor Swift,Look What You Made Me Do,1,1,0,1,0,1,1,1,0
Ellie Goulding,Burn,1,1,1,1,1,1,1,1,1
Oasis,All Around The World,1,1,1,1,1,1,1,1,1
Luis Fonsi,Despacito,1,1,1,1,0,1,1,1,0
Steely Dan,Do It Again,1,0,1,1,1,1,1,1,0
The Beach Boys,Good Vibrations,1,1,1,1,1,1,1,1,1
Adele,Someone Like You,1,1,1,1,1,0,1,1,1
OutKast,Roses,1,0,1,1,1,1,1,1,0
Mac Demarco,Salad Days,1,1,1,1,1,0,0,1,1
Wrabel,The Village,1,1,1,1,1,1,1,1,1
Hey Judeschka!,ImmerwiederSommertag,1,1,1,1,1,0,0,0,1
Zara Larsson,Lush Life,1,0,1,0,1,1,1,1,0
Backstreet Boys,Everybody,1,0,1,0,0,1,1,1,0
Chain Smokers,Paris,1,0,1,1,1,1,1,1,1
Imogen Heap,Hide and Seek,1,1,1,1,1,0,0,1,1
Kings of Leon,Sex On Fire,1,1,1,1,1,1,1,1,1
M.I.A.,Paper Planes,1,0,1,0,0,1,1,1,0
Of Monsters and Men,Empire,1,1,1,1,1,1,1,1,1
Backstreet Boys,I Want It That Way,1,0,1,1,1,1,1,1,1
Namika,Lieblingsmensch,1,1,1,1,1,1,1,1,0
Marvin Gaye,Lets Get It On,1,0,1,1,1,1,0,0,0
Owl City,Fireflies,1,1,1,1,1,1,1,1,1
Babybird,If You'll Be Mine,1,0,1,1,1,0,1,1,1
Gnarls Barkley,Crazy,1,1,1,1,1,1,1,1,1
Lily Allen,Fuck You,1,0,1,0,1,1,1,1,0
Pitbull,Better On Me,0,1,1,1,1,1,1,1,1
Beyonce,Halo,1,1,1,1,1,1,1,1,1
Elle King,Ex's &Oh's,1,1,1,1,1,1,1,1,0
B.O.B.,Nothing On You,1,1,1,1,1,1,1,1,1
Five for fighting,Easy Tonight,0,1,1,1,1,1,1,1,1
Avril Lavigne,Complicated,1,1,1,1,1,1,1,1,1
Miley Cyrus,Party In The U.S.A,1,1,1,1,1,1,1,1,1
The Beach Boys,Wouldn't It Be Nice,1,1,1,1,1,1,1,1,0
Kodaline,High Hopes,1,1,1,1,1,0,0,1,1
Dido,White Flag,0,1,1,1,1,0,0,1,1
Bon Jovi,Livin On A Prayer,1,1,1,1,0,1,1,1,0
Amy Macdonald,Mr Rock & Roll,1,0,1,1,1,1,1,1,1
Alicia Keys,If I Ain't Got You,1,1,1,1,1,0,1,1,1
Daniel Powter,Bad Day,1,1,1,1,1,1,1,0,1
Tal Bachman,Shes So High,1,0,1,1,1,1,1,0,1
Rihanna,Work,1,0,0,1,1,1,1,1,0
David Gray,Please Forgive me,1,1,1,1,1,0,0,1,0
Paramore,The Only Exception,1,1,1,1,1,0,0,1,1
Imogen Heap,Goodnight And Go,1,0,1,1,1,1,0,1,0
Arctic Monkeys,Do I Wanna Know,1,1,1,1,1,1,1,1,1
Neil Diamond,I Am....I Said,1,0,1,1,1,0,1,1,1
Angus and Julia Stone,Big Jet Plane,1,1,1,1,1,0,0,1,1
George Ezra,Budapest,1,1,1,1,1,1,1,1,1
Marvin Gaye,Sexual Healing,1,1,1,1,1,1,1,1,1
The Kooks,Naive,1,1,1,1,1,1,1,1,0
Frank Ocean,Thinkin Bout You,1,0,1,1,1,1,0,1,1
Genesis,I Can't Dance,0,0,1,0,1,1,1,1,0
Black Eyed Peas,I Gotta Feeling,1,1,1,1,0,1,1,1,0
Shakira,Underneath your clothes,1,0,1,1,1,0,0,0,1
James Morrison,I Won't Let You Go,0,0,1,1,1,0,0,1,1
Lianne La Havas,What You Don't Do,1,1,0,1,1,1,1,1,0
Maggie reilly,Everytime We Touch,1,0,1,1,1,1,1,1,1
Akon,Lonely,1,0,1,1,1,1,0,1,1
Tame Impala,The Less I Know The Better,1,1,1,1,1,1,1,1,1
Bag Raiders,Shooting Stars,1,1,1,1,1,1,1,1,1
Gary Jules,Mad World,1,1,1,1,1,0,0,1,1
Mark Ronson,Uptown Funk,1,1,1,0,1,1,1,1,0
The Beatles,Let It Be,1,1,1,1,1,1,1,0,1
Eric Clapton,Tears In Heaven,1,1,1,1,1,0,0,0,1
Lola Marsh,Wishing Girl,1,1,1,1,1,1,1,1,1
Bilderbuch,Maschin,0,0,1,1,1,1,1,1,0
Fletwood Mac,Dreams,1,1,1,1,1,1,0,1,1
Oasis,Don't Look Back In Anger,1,1,1,1,1,1,0,1,1
Der Junge mit der Gitarre,Hallo Worum Gehts Ich Bin Dagegen,1,1,0,0,0,1,1,1,1
Chris Brown,Forever,1,0,1,1,0,1,1,1,0
Ryan Adams,Lucky Now,1,1,1,1,1,1,1,1,1
Amy Winehouse,Back To Black,1,1,1,1,1,1,1,1,1
